package_date,bc_id,vlm_group_id,standard,standard_start_version,standard_end_version,domain,crf_group_id,implementation_option,scenario,categories,short_name,crf_item,variable_name,dec_id,question_text,prompt,completion_instructions,order_number,mandatory_variable,data_type,length,significant_digits,display_hidden,derived_variable,derivation_description,codelist,codelist_submission_value,value_list,value_display_list,selection_type,prepopulated_term,prepopulated_code,sdtm_target_variable,sdtm_annotation,sdtm_mapping
2025-12-31,C83347,,CDASHIG,2-1,,AE,AE,,,,Adverse Event Yes No Indicator,AEYN,AEYN,C83347,Were any adverse events experienced?,,,1,N,text,1,,N,N,,C66742,NY,N;Y,No;Yes,Single,,,,[NOT SUBMITTED],
2025-12-31,C179175,AE,CDASHIG,2-1,,AE,AE_DENORMALIZED,Denormalized,,,Adverse Event Free Text Format (Denormalized),AETERM,AETERM,C78541,What is the adverse event term?,,,1,Y,text,200,,N,N,,,,,,,,,AETERM,AETERM,
2025-12-31,C179175,AE,CDASHIG,2-1,,AE,AE_DENORMALIZED,Denormalized,,,Adverse Event Free Text Format (Denormalized),AESTDAT,AESTDAT,C83215,What is the adverse event start date?,,,2,Y,date,10,,N,N,,,,,,,,,AESTDAT,AESTDAT,
2025-12-31,C179175,AE,CDASHIG,2-1,,AE,AE_DENORMALIZED,Denormalized,,,Adverse Event Free Text Format (Denormalized),AEONGO,AEONGO,C83051,Is the adverse event ongoing (as of [the study-specific time point or period])?,,,3,N,text,1,,N,N,,,,N;Y,No;Yes,Single,,,AEENRTPT;AEENRF;AEENTPT,[NOT SUBMITTED];AEENRTPT; AEENRF;AEENTPT,
2025-12-31,C179175,AE,CDASHIG,2-1,,AE,AE_DENORMALIZED,Denormalized,,,Adverse Event Free Text Format (Denormalized),AEENDAT,AEENDAT,C83201,What was the adverse event end date?,,,4,Y,date,10,,N,N,,,,,,,,,AEENDAT,AEENDAT,
2025-12-31,C179175,AE,CDASHIG,2-1,,AE,AE_DENORMALIZED,Denormalized,,,Adverse Event Free Text Format (Denormalized),AESEV,AESEV,C53253,What is the severity of the adverse event?,,,5,N,text,200,,N,N,,C66769,AESEV,MILD;MODERATE;SEVERE,Mild;Moderate;Severe,Single,,,AESEV,AESEV,
2025-12-31,C179175,AE,CDASHIG,2-1,,AE,AE_DENORMALIZED,Denormalized,,,Adverse Event Free Text Format (Denormalized),AESER,AESER,C53252,Was the adverse event serious?,,,6,Y,text,1,,N,N,,C66742,NY,N;Y,No;Yes,Single,,,AESER,AESER,
2025-12-31,C179175,AE,CDASHIG,2-1,,AE,AE_DENORMALIZED,Denormalized,,,Adverse Event Free Text Format (Denormalized),AESDTH,AESDTH,C48275,Did the adverse event result in death?,,,7,N,text,1,,N,N,,C66742,NY,N;Y,No;Yes,Single,,,AESDTH,AESDTH,
2025-12-31,C179175,AE,CDASHIG,2-1,,AE,AE_DENORMALIZED,Denormalized,,,Adverse Event Free Text Format (Denormalized),AESLIFE,AESLIFE,C84266,Was the adverse event life threatening?,,,8,N,text,1,,N,N,,C66742,NY,N;Y,No;Yes,Single,,,AESLIFE,AESLIFE,
2025-12-31,C179175,AE,CDASHIG,2-1,,AE,AE_DENORMALIZED,Denormalized,,,Adverse Event Free Text Format (Denormalized),AESHOSP,AESHOSP,C83052,Did the adverse event result in initial or prolonged     hospitalization for the subject?,,,9,N,text,1,,N,N,,C66742,NY,N;Y,No;Yes,Single,,,AESHOSP,AESHOSP,
2025-12-31,C179175,AE,CDASHIG,2-1,,AE,AE_DENORMALIZED,Denormalized,,,Adverse Event Free Text Format (Denormalized),AESDISAB,AESDISAB,C113380,Did the adverse event result in disability or permanent     damage?,,,10,N,text,1,,N,N,,C66742,NY,N;Y,No;Yes,Single,,,AESDISAB,AESDISAB,
2025-12-31,C179175,AE,CDASHIG,2-1,,AE,AE_DENORMALIZED,Denormalized,,,Adverse Event Free Text Format (Denormalized),AESCONG,AESCONG,C83117,Was the adverse event associated with a congenital anomaly or birth defect?,,,11,N,text,1,,N,N,,C66742,NY,N;Y,No;Yes,Single,,,AESCONG,AESCONG,
2025-12-31,C179175,AE,CDASHIG,2-1,,AE,AE_DENORMALIZED,Denormalized,,,Adverse Event Free Text Format (Denormalized),AESMIE,AESMIE,C83053,Was the adverse event a medically important event not covered by other serious criteria?,,,12,N,text,1,,N,N,,C66742,NY,N;Y,No;Yes,Single,,,AESMIE,AESMIE,
2025-12-31,C179175,AE,CDASHIG,2-1,,AE,AE_DENORMALIZED,Denormalized,,,Adverse Event Free Text Format (Denormalized),AEREL,AEREL,C41358,Was this adverse event related to study treatment?,,,13,Y,text,1,,N,N,,C66742,NY,N;Y,No;Yes,Single,,,AEREL,AEREL,
2025-12-31,C179175,AE,CDASHIG,2-1,,AE,AE_DENORMALIZED,Denormalized,,,Adverse Event Free Text Format (Denormalized),AEACN,AEACN,C83013,What action was taken with study treatment?,,,14,Y,text,200,,N,N,,C66767,ACN,DOSE INCREASED;DOSE NOT CHANGED;DOSE RATE REDUCED;DOSE REDUCED;DRUG INTERRUPTED;DRUG WITHDRAWN;NOT APPLICABLE;UNKNOWN,Dose Increased;Dose Not Changed;Dose Rate Reduced;Dose Reduced;Drug Interrupted;Drug Withdrawn;Not Applicable;Unknown,Multiple,,,AEACN,AEACN,
2025-12-31,C179175,AE,CDASHIG,2-1,,AE,AE_DENORMALIZED,Denormalized,,,Adverse Event Free Text Format (Denormalized),AEACNOTH,AEACNOTH,C83109,What other action was taken?,,,15,N,text,200,,N,N,,,,,,,,,AEACNOTH,AEACNOTH,
2025-12-31,C179175,AE,CDASHIG,2-1,,AE,AE_DENORMALIZED,Denormalized,,,Adverse Event Free Text Format (Denormalized),AEOUT,AEOUT,C49489,What is the outcome of this adverse event?,,,16,N,text,200,,N,N,,C66768,OUT,FATAL;NOT RECOVERED/NOT RESOLVED;RECOVERED/RESOLVED;RECOVERED/RESOLVED WITH SEQUELAE;RECOVERING/RESOLVING;UNKNOWN,Fatal;Not Recovered/Not Resolved;Recovered/Resolved;Recovered/Resolved With Sequelae;Recovering/Resolving;Unknown,Single,,,AEOUT,AEOUT,
2025-12-31,C25299,DIABP,CDASHIG,2-1,,VS,DIABP_DENORMALIZED,Denormalized,,,Diastolic Blood Pressure (Denormalized),VSDAT,VSDAT,C82515,What was the date of the measurement?,,,1,N,date,10,,N,N,,,,,,,,,VSDTC,VSDTC,
2025-12-31,C25299,DIABP,CDASHIG,2-1,,VS,DIABP_DENORMALIZED,Denormalized,,,Diastolic Blood Pressure (Denormalized),DIABP_VSPOS,VSPOS,C62164,What was the position of the subject during the Diastolic Blood Pressure measurement?,,,2,N,text,50,,N,N,,C71148,POSITION,PRONE;SEMI-RECUMBENT;SITTING;STANDING;SUPINE,Prone;Semi-recumbent;Sitting;Standing;Supine,Single,,,VSPOS,VSPOS when VSTESTCD = DIABP,
2025-12-31,C25299,DIABP,CDASHIG,2-1,,VS,DIABP_DENORMALIZED,Denormalized,,,Diastolic Blood Pressure (Denormalized),DIABP_VSLOC,VSLOC,C13717,What was the position of the subject during the Diastolic Blood Pressure measurement?,,,3,N,text,50,,N,N,,C74456,LOC,BRACHIAL ARTERY;FEMORAL ARTERY;PERIPHERAL ARTERY;RADIAL ARTERY,Brachial Artery;Femoral Artery;Peripheral Artery;Radial Artery,Single,,,VSLOC,VSLOC when VSTESTCD = DIABP,
2025-12-31,C25299,DIABP,CDASHIG,2-1,,VS,DIABP_DENORMALIZED,Denormalized,,,Diastolic Blood Pressure (Denormalized),DIABP_VSORRES,VSORRES,C70856,What was the result of the Diastolic Blood Pressure measurement?,,,4,Y,integer,3,,N,N,,,,,,,,,VSORRES;VSTESTCD;VSTEST,VSORRES when VSTESTCD = DIABP,
2025-12-31,C25299,DIABP,CDASHIG,2-1,,VS,DIABP_DENORMALIZED,Denormalized,,,Diastolic Blood Pressure (Denormalized),DIABP_VSORRESU,VSORRESU,C49669,What was the unit of the Diastolic Blood Pressure measurement?,,,5,Y,text,10,,N,N,,C66770,VSRESU,,,,mmHg,C49670,VSORRESU;VSTESTCD;VSTEST,VSORRESU = mmHg when VSTESTCD = DIABP,
2025-12-31,C49677,HR,CDASHIG,2-1,,VS,HR_DENORMALIZED,Denormalized,,,Heart Rate (Denormalized),VSDAT,VSDAT,C82515,,Date of Assessment,,1,N,date,10,,N,N,,,,,,,,,VSDTC,VSDTC,
